Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.205328  -0.280817  -0.550580  0.109250  -0.028641  9.733779  0.00  0.000  0.000  0.000  
3  -0.257508  -0.335296  -0.506188  0.100472  -0.008225  9.742791  0.00  0.000  0.000  0.000  
4  -0.227655  -0.326695  -0.573930  0.097240  -0.031542  9.757936  33.65  0.000  0.000  0.000  
5  -0.226326  -0.402239  -0.590217  0.113303  -0.041815  9.742479  33.65  0.000  0.000  0.000  
6  -0.235376  -0.311483  -0.573756  0.100326  -0.022085  9.754184  33.65  0.000  0.000  0.000  
7  -0.166764  -0.348952  -0.566481  0.109784  -0.034447  9.742911  33.65  0.000  0.000  0.000  
8  -0.227625  -0.397016  -0.529295  0.097926  -0.022306  9.756324  33.65  0.000  0.000  0.000  
9  -0.174802  -0.318996  -0.543377  0.090059  -0.031335  9.767735  33.68  0.000  0.000  0.000  
10  -0.212024  -0.349263  -0.566689  0.111259  -0.007413  9.722915  33.68  0.000  0.000  0.000  
11  -0.220005  -0.310684  -0.596447  0.100348  -0.022900  9.716833  33.68  0.000  0.000  0.000  
12  -0.227451  -0.358102  -0.528941  0.105021  -0.031838  9.746435  33.68  0.000  0.000  0.000  
13  -0.242685  -0.311482  -0.558733  0.110459  -0.028342  9.721474  33.68  0.000  0.000  0.000  
14  -0.204508  -0.333067  -0.611852  0.103901  -0.025785  9.726784  33.65  0.000  0.000  0.000  
15  -0.227626  -0.358781  -0.498650  0.088402  -0.019927  9.733002  33.65  0.000  0.000  0.000  
16  -0.166451  -0.326045  -0.520959  0.096119  -0.026525  9.731592  33.65  0.000  0.000  0.000  
17  -0.212609  -0.295913  -0.558407  0.107470  -0.027551  9.730078  33.65  0.000  0.000  0.000  
18  -0.249633  -0.388787  -0.521927  0.105778  -0.016650  9.734170  33.65  0.000  0.000  0.000  
19  -0.272568  -0.365050  -0.589756  0.108655  -0.028622  9.729008  33.66  0.000  0.000  0.000  
20  -0.287270  -0.396224  -0.552447  0.096117  -0.024552  9.753359  33.66  0.000  0.000  0.000  
21  -0.158587  -0.394914  -0.544417  0.084139  -0.028659  9.725034  33.66  0.000  0.000  0.000  
22  -0.272475  -0.412537  -0.514654  0.104996  -0.034052  9.750237  33.66  0.000  0.000  0.000  
23  -0.240808  -0.495297  -0.538487  0.104005  -0.016589  9.707752  33.66  0.000  0.000  0.000  
24  -0.285771  -0.540524  -0.614867  0.094932  -0.023214  9.754819  33.65  0.000  0.000  0.000  
25  -0.345909  -0.572689  -0.547474  0.102746  -0.019984  9.745764  33.65  0.000  0.000  0.000  
26  -0.345179  -0.679112  -0.616845  0.101462  -0.028610  9.746309  33.65  0.000  0.000  0.000  
27  -0.286827  -0.451140  -0.469959  0.088969  -0.028553  9.667616  33.65  0.000  0.000  0.000  
28  -0.144998  -0.257203  -0.550056  0.097895  -0.027248  9.740948  33.65  0.000  0.000  0.000  
29  -0.265708  -0.320089  -0.543688  0.114560  -0.033309  9.765632  33.65  0.000  0.000  0.000  
30  -0.219876  -0.350272  -0.528835  0.088363  -0.027393  9.691409  33.65  0.000  0.000  0.000  
31  -0.228573  -0.313381  -0.505471  0.106247  -0.027029  9.763712  33.65  0.000  0.000  0.000  
32  -0.287391  -0.435885  -0.499888  0.103941  -0.022123  9.717260  33.65  0.000  0.000  0.000  
33  -0.159321  -0.319107  -0.498049  0.082287  -0.034712  9.725410  33.65  0.000  0.000  0.000  
34  -0.287147  -0.419991  -0.507355  0.099707  -0.023106  9.768470  33.65  0.000  0.000  0.000  
35  -0.181630  -0.386673  -0.619938  0.102099  -0.027650  9.711071  33.65  0.000  0.000  0.000  
36  -0.190555  -0.327886  -0.528223  0.094232  -0.032197  9.768339  33.65  0.000  0.000  0.000  
37  -0.264914  -0.356658  -0.619915  0.112198  -0.032776  9.735051  33.65  0.000  0.000  0.000  
38  -0.159133  -0.341284  -0.551268  0.097893  -0.028790  9.725382  33.65  0.000  0.000  0.000  
39  -0.257306  -0.388533  -0.552171  0.100298  -0.026677  9.732612  33.65  0.000  0.000  0.000  
40  -0.288292  -0.359004  -0.536645  0.100901  -0.028977  9.695320  33.65  0.000  0.000  0.000  
41  -0.205899  -0.258527  -0.535061  0.100871  -0.028174  9.745732  33.65  0.000  0.000  0.000  
42  -0.302728  -0.420582  -0.514851  0.106864  -0.027004  9.742111  33.65  0.000  0.000  0.000  
43  -0.197175  -0.302312  -0.611439  0.087213  -0.019631  9.730149  33.65  0.000  0.000  0.000  
44  -0.227322  -0.380701  -0.559461  0.094991  -0.016393  9.762492  33.65  0.000  0.000  0.000  
45  -0.227913  -0.358551  -0.536376  0.097880  -0.028692  9.737407  33.65  0.000  0.000  0.000  
46  -0.228334  -0.319900  -0.566104  0.096603  -0.036250  9.744979  33.65  0.000  0.000  0.000  
47  -0.212111  -0.419842  -0.514461  0.102642  -0.030464  9.743694  33.65  0.000  0.000  0.000  
48  -0.265712  -0.359492  -0.498723  0.083563  -0.027375  9.707561  33.65  0.000  0.000  0.000  
49  -0.242505  -0.373646  -0.529180  0.084684  -0.032200  9.745390  33.68  0.000  0.000  0.000  
50  -0.212672  -0.326950  -0.558711  0.095538  -0.025790  9.711211  33.68  0.000  0.000  0.000  
51  -0.197491  -0.342792  -0.521023  0.098539  -0.024594  9.712855  33.68  0.000  0.000  0.000  
52  -0.280538  -0.366900  -0.506504  0.108747  -0.018183  9.738462  33.68  0.000  0.000  0.000  
53  -0.219938  -0.381308  -0.529139  0.088454  -0.016796  9.703710  33.68  0.000  0.000  0.000  
54  -0.281091  -0.336267  -0.528716  0.096680  -0.027795  9.752489  33.67  0.000  0.000  0.000  
55  -0.265966  -0.351946  -0.506134  0.095545  -0.024187  9.719019  33.67  0.000  0.000  0.000  
56  -0.220869  -0.328149  -0.535885  0.082396  -0.020309  9.756198  33.67  0.000  0.000  0.000  
57  -0.182357  -0.364921  -0.581695  0.093056  -0.033633  9.726332  33.67  0.000  0.000  0.000  
58  -0.265929  -0.305228  -0.520785  0.088911  -0.028844  9.735581  33.67  0.000  0.000  0.000  
59  -0.190475  -0.297293  -0.497680  0.108638  -0.028059  9.755872  33.67  0.000  0.000  0.000  
60  -0.235482  -0.382203  -0.513962  0.076328  -0.031540  9.727892  33.67  0.000  0.000  0.000  
61  -0.182813  -0.304138  -0.543124  0.085254  -0.035177  9.743491  33.67  0.000  0.000  0.000  
62  -0.197219  -0.389016  -0.514018  0.094868  -0.031215  9.734271  33.67  0.000  0.000  0.000  
63  -0.235531  -0.312022  -0.551031  0.095572  -0.021376  9.723428  33.67  0.000  0.000  0.000  
64  -0.221020  -0.289285  -0.558125  0.102669  -0.028916  9.728170  33.67  0.000  0.000  0.000  
65  -0.265912  -0.288682  -0.588677  0.091245  -0.034834  9.735986  33.67  0.000  0.000  0.000  
66  -0.213708  -0.305692  -0.512823  0.105569  -0.036099  9.752147  33.67  0.000  0.000  0.000  
67  -0.266305  -0.329139  -0.505801  0.093190  -0.019025  9.735136  33.67  0.000  0.000  0.000  
68  -0.197511  -0.389953  -0.476133  0.098560  -0.021940  9.715837  33.67  0.000  0.000  0.000  
69  -0.251275  -0.306117  -0.490354  0.103878  -0.024664  9.763904  33.68  0.000  0.000  0.000  
70  -0.235752  -0.344181  -0.490804  0.085867  -0.033938  9.737940  33.68  0.000  0.000  0.000  
71  -0.235988  -0.328292  -0.535945  0.103830  -0.030055  9.757644  33.68  0.000  0.000  0.000  
72  -0.198005  -0.320664  -0.490398  0.098420  -0.034016  9.745938  33.68  0.000  0.000  0.000  
73  -0.250276  -0.327072  -0.558915  0.087762  -0.024181  9.734300  33.68  0.000  0.000  0.000  
74  -0.266092  -0.328763  -0.513420  0.099039  -0.033028  9.729899  33.66  0.000  0.000  0.000  
75  -0.296102  -0.367935  -0.483761  0.086504  -0.029668  9.740191  33.66  0.000  0.000  0.000  
76  -0.191295  -0.275075  -0.497216  0.099114  -0.024343  9.741387  33.66  0.000  0.000  0.000  
77  -0.249983  -0.381359  -0.529313  0.100936  -0.022429  9.733691  33.66  0.000  0.000  0.000  
78  -0.228107  -0.303562  -0.603811  0.100975  -0.018898  9.725453  33.66  0.000  0.000  0.000  
79  -0.243441  -0.351686  -0.521124  0.090747  -0.022798  9.752648  33.67  0.000  0.000  0.000  
80  -0.250507  -0.335791  -0.513567  0.108036  -0.031025  9.725232  33.67  0.000  0.000  0.000  
81  -0.236209  -0.296441  -0.611174  0.100163  -0.039182  9.744287  33.67  0.000  0.000  0.000  
82  -0.183088  -0.335551  -0.535809  0.109275  -0.027372  9.710397  33.67  0.000  0.000  0.000  
83  -0.220655  -0.335976  -0.513340  0.085456  -0.014088  9.744802  33.67  0.000  0.000  0.000  
84  -0.227451  -0.358102  -0.528941  0.100757  -0.040248  9.741782  33.68  0.000  0.000  0.000  
85  -0.243427  -0.335724  -0.551211  0.097324  -0.025233  9.725060  33.68  0.000  0.000  0.000  
86  -0.273827  -0.329514  -0.483159  0.088309  -0.030019  9.722691  33.68  0.000  0.000  0.000  
87  -0.281079  -0.320889  -0.520998  0.097376  -0.020828  9.716284  33.68  0.000  0.000  0.000  
88  -0.288431  -0.342998  -0.581813  0.098498  -0.027785  9.722615  33.68  0.000  0.000  0.000  
89  -0.303530  -0.390021  -0.552117  0.097885  -0.030212  9.709365  33.68  0.000  0.000  0.000  
90  -0.220905  -0.336048  -0.528394  0.098506  -0.026340  9.727576  33.68  0.000  0.000  0.000  
91  -0.174989  -0.373288  -0.551449  0.100821  -0.032565  9.749752  33.68  0.000  0.000  0.000  
92  -0.182865  -0.311594  -0.565873  0.093145  -0.023237  9.741752  33.68  0.000  0.000  0.000  
93  -0.258580  -0.351969  -0.513618  0.090591  -0.040537  9.730779  33.68  0.000  0.000  0.000  
94  -0.190296  -0.334264  -0.596423  0.100907  -0.025162  9.733377  33.69  0.000  0.000  0.000  
95  -0.190430  -0.342865  -0.551101  0.091868  -0.033013  9.721453  33.69  0.000  0.000  0.000  
96  -0.227181  -0.396124  -0.552099  0.107487  -0.025519  9.729020  33.69  0.000  0.000  0.000  
97  -0.167763  -0.311008  -0.596051  0.089506  -0.029330  9.730855  33.69  0.000  0.000  0.000  
98  -0.212848  -0.374650  -0.491096  0.100832  -0.032165  9.742095  33.69  0.000  0.000  0.000  
99  -0.206195  -0.328898  -0.513020  0.106203  -0.033981  9.730033  33.68  0.000  0.000  0.000  
